aar,belop,antall
1983,4105743,85
1984,7451584,222
1985,7456670,235
1986,8294500,223
1987,22779052,388
1988,23221450,410
1989,28221471,425
1990,22807300,312
1991,27237804,374
1992,28599889,419
1993,28475545,484
1994,29243420,465
1995,29177401,495
1996,30024458,623
1997,30559489,581
1998,28799948,510
1999,30283220,584
2000,30002561,484
2001,31063851,581
2002,26623737,529
2003,27142744,632
2004,26744604,622
2005,21114275,568
2006,23603940,572
2007,26633900,546
2008,28436343,605
2009,29170327,582
2010,30371550,507
2011,32265050,523
2012,33053690,524
2013,31186269,494
2014,33003800,447
2015,40470661,599
2016,38637648,586
2017,38801863,585
2018,40096126,608
2019,46650150,617
2020,48126400,679
2021,85253000,1006
2022,90754760,1034
2023,50743416,577
2024,53949250,640
2025,57462000,637
